epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81124,1.36642,4.6013,1.22864,0,0,0,0,1.78118,4.30421,1.55596,8.5e-05,8.5e-05,8.5e-05
2,6.53714,1.11491,3.70147,1.07348,0.02163,0.2413,0.16609,0.12587,1.31946,3.51464,1.16317,0.000174134,0.000174134,0.000174134
3,9.25839,1.09857,2.69502,1.06648,0.92287,0.11544,0.22637,0.17208,1.22517,2.7123,1.08372,0.000262376,0.000262376,0.000262376
4,11.9543,1.00353,2.14136,1.00954,0.87312,0.14525,0.29999,0.22732,1.21037,2.56464,1.12804,0.000349728,0.000349728,0.000349728
5,14.6454,0.98941,1.85826,0.99913,0.90652,0.20176,0.38899,0.29221,1.07496,1.96933,1.01992,0.000436189,0.000436189,0.000436189
6,17.4283,0.94225,1.5852,0.98825,0.8264,0.37494,0.50402,0.36458,1.15943,1.59514,1.11848,0.000487625,0.000487625,0.000487625
7,20.2517,0.93423,1.46758,0.98871,0.83779,0.41134,0.50603,0.37914,0.95871,1.527,1.03748,0.00048515,0.00048515,0.00048515
8,22.9478,0.89321,1.30088,0.9708,0.88462,0.45544,0.54847,0.40547,1.09147,1.25089,1.08008,0.000482675,0.000482675,0.000482675
9,25.6505,0.89645,1.2726,0.95964,0.83138,0.56118,0.60167,0.45382,0.90875,1.07098,1.02414,0.0004802,0.0004802,0.0004802
10,28.3543,0.87968,1.13728,0.97294,0.88192,0.59556,0.72355,0.54819,0.8743,0.94073,0.9582,0.000477725,0.000477725,0.000477725
11,31.207,0.8497,1.09325,0.95829,0.90145,0.62194,0.71517,0.53708,0.85788,1.00689,0.95129,0.00047525,0.00047525,0.00047525
12,34.0501,0.83753,1.03259,0.95905,0.80419,0.7427,0.77395,0.60306,0.80667,0.867,0.93625,0.000472775,0.000472775,0.000472775
13,37.0232,0.82037,0.95183,0.93682,0.82736,0.74043,0.77729,0.61108,0.7816,0.8026,0.9356,0.0004703,0.0004703,0.0004703
14,39.7237,0.81204,0.96534,0.95271,0.88116,0.71915,0.80153,0.62514,0.77336,0.77083,0.92602,0.000467825,0.000467825,0.000467825
15,42.4157,0.80691,0.92757,0.94351,0.86659,0.74552,0.79621,0.61627,0.79711,0.73156,0.96133,0.00046535,0.00046535,0.00046535
16,45.1666,0.79692,0.91291,0.9368,0.84962,0.77655,0.81882,0.64292,0.86662,0.7204,0.9397,0.000462875,0.000462875,0.000462875
17,48.2488,0.79588,0.88965,0.93688,0.82771,0.79989,0.82762,0.6333,0.96673,0.75358,0.96827,0.0004604,0.0004604,0.0004604
18,51.171,0.78948,0.88314,0.93843,0.82133,0.77642,0.7958,0.61802,0.91767,0.77094,1.00386,0.000457925,0.000457925,0.000457925
19,54.1687,0.76009,0.83942,0.93041,0.90357,0.75078,0.8341,0.65403,0.84439,0.68576,0.95449,0.00045545,0.00045545,0.00045545
20,57.0599,0.74564,0.82908,0.92802,0.9025,0.77643,0.80682,0.63648,0.84522,0.68729,0.9512,0.000452975,0.000452975,0.000452975
21,60.0266,0.77806,0.8305,0.93527,0.84584,0.79537,0.8428,0.65901,0.81421,0.66059,0.93148,0.0004505,0.0004505,0.0004505
22,63.0795,0.7481,0.80962,0.93092,0.89736,0.78515,0.84217,0.65952,0.90234,0.68648,0.96907,0.000448025,0.000448025,0.000448025
23,66.2129,0.76548,0.80482,0.93518,0.8801,0.79229,0.84323,0.66286,0.79511,0.63706,0.92389,0.00044555,0.00044555,0.00044555
